time / s,Au,Cl,O,H
0.0002470245596274208,0.019999999999999997,0.07999999999979462,55.56051009999956,111.13000019999954
0.00025919320859359266,0.019999999999999993,0.07999999999979504,55.56051009999954,111.13000019999951
0.00027136185755976465,0.019999999999999997,0.0799999999997954,55.56051009999954,111.13000019999951
0.00028353050652593664,0.019999999999999993,0.07999999999979583,55.56051009999953,111.13000019999954
0.0002956991554921085,0.019999999999999993,0.07999999999979608,55.56051009999953,111.13000019999951
0.000312569939084162,0.019999999999999993,0.07999999999979605,55.56051009999952,111.13000019999953
0.0003294407226762155,0.019999999999999993,0.07999999999979511,55.560510099999526,111.13000019999946
0.000346311506268269,0.019999999999999997,0.07999999999979433,55.56051009999954,111.13000019999934
0.00036318228986032246,0.019999999999999997,0.07999999999979432,55.56051009999957,111.13000019999915
0.00038005307345237595,0.019999999999999993,0.0799999999997949,55.560510099999554,111.13000019999899
0.0004026619622858325,0.019999999999999997,0.07999999999979614,55.560510099999576,111.13000019999893
0.0004252708511192891,0.019999999999999997,0.07999999999979682,55.56051009999958,111.13000019999899
0.0004478797399527457,0.019999999999999997,0.07999999999979768,55.5605100999996,111.13000019999917
0.00047048862878620217,0.02,0.0799999999997983,55.56051009999959,111.13000019999934
0.0004930975176196588,0.019999999999999997,0.07999999999979908,55.56051009999964,111.13000019999946
0.0005206741860485466,0.019999999999999993,0.07999999999979977,55.56051009999965,111.13000019999954
0.0005482508544774345,0.019999999999999993,0.07999999999980023,55.56051009999964,111.13000019999964
0.0005758275229063223,0.019999999999999997,0.0799999999998003,55.56051009999966,111.13000019999978
0.0006034041913352101,0.01999999999999999,0.07999999999979976,55.56051009999967,111.13000019999988
0.0006309808597640981,0.019999999999999993,0.07999999999980029,55.56051009999968,111.1300002
0.0006662788573267397,0.019999999999999997,0.07999999999980008,55.56051009999971,111.1300002000001
0.0007015768548893817,0.01999999999999999,0.07999999999979973,55.56051009999964,111.13000019999946
0.0007368748524520237,0.019999999999999997,0.07999999999979972,55.56051009999949,111.13000019999848
0.0007721728500146653,0.019999999999999997,0.07999999999980077,55.56051009999933,111.13000019999753
0.0008074708475773072,0.019999999999999997,0.07999999999980163,55.560510099999235,111.13000019999684
0.000856206276004049,0.02,0.0799999999998026,55.560510099999185,111.1300001999965
